timestamp_utc,regime,size,expected_net_pnl_bps
2024-08-05 04:08:00+00:00,transient,0.3,-0.27231542095654687
2024-08-05 04:08:00+00:00,transient,0.35,-0.3177200385997241
2024-08-05 04:08:00+00:00,transient,0.4,-0.36313000314302113
2024-08-05 04:08:00+00:00,transient,0.45,-0.4085864558716244
2024-08-05 04:08:00+00:00,transient,0.5,-0.4540573980081665
2024-08-05 04:08:00+00:00,transient,0.55,-0.49954282955264784
2024-08-05 04:08:00+00:00,transient,0.6,-0.545042750505068
2024-08-05 04:08:00+00:00,transient,0.65,-0.5907954150320647
2024-08-05 04:08:00+00:00,transient,0.7,-0.6365992234541752
2024-08-05 04:08:00+00:00,transient,0.75,-0.6824541757713999
2024-08-05 04:08:00+00:00,transient,0.8,-0.7283602719837385
2024-08-05 04:08:00+00:00,transient,0.85,-0.7992775858522523
2024-08-05 04:08:00+00:00,transient,0.9,-0.873182522881887
2024-08-05 04:08:00+00:00,transient,0.95,-0.9500750830726431
2024-08-05 04:08:00+00:00,transient,1.0,-1.0299552664245204
2024-08-05 04:09:00+00:00,transient,0.0,-0.0
2024-08-05 04:09:00+00:00,transient,0.05,-0.04537831778232457
2024-08-05 04:09:00+00:00,transient,0.1,-0.09075812810485807
2024-08-05 04:09:00+00:00,transient,0.15,-0.1361394309676005
2024-08-05 04:09:00+00:00,transient,0.2,-0.18152222637055182
2024-08-05 04:09:00+00:00,transient,0.25,-0.2269161502134894
2024-08-05 04:09:00+00:00,transient,0.3,-0.27231542095654687
2024-08-05 04:09:00+00:00,transient,0.35,-0.3177200385997241
2024-08-05 04:09:00+00:00,transient,0.4,-0.36313000314302113
2024-08-05 04:09:00+00:00,transient,0.45,-0.4085864558716244
2024-08-05 04:09:00+00:00,transient,0.5,-0.4540573980081665
2024-08-05 04:09:00+00:00,transient,0.55,-0.49954282955264784
2024-08-05 04:09:00+00:00,transient,0.6,-0.545042750505068
2024-08-05 04:09:00+00:00,transient,0.65,-0.5907954150320647
2024-08-05 04:09:00+00:00,transient,0.7,-0.6365992234541752
2024-08-05 04:09:00+00:00,transient,0.75,-0.6824541757713999
2024-08-05 04:09:00+00:00,transient,0.8,-0.7283602719837385
2024-08-05 04:09:00+00:00,transient,0.85,-0.7992775858522523
2024-08-05 04:09:00+00:00,transient,0.9,-0.873182522881887
2024-08-05 04:09:00+00:00,transient,0.95,-0.9500750830726431
2024-08-05 04:09:00+00:00,transient,1.0,-1.0299552664245204
2024-08-05 04:10:00+00:00,transient,0.0,-0.0
2024-08-05 04:10:00+00:00,transient,0.05,-0.04537831778232457
2024-08-05 04:10:00+00:00,transient,0.1,-0.09075812810485807
2024-08-05 04:10:00+00:00,transient,0.15,-0.1361394309676005
2024-08-05 04:10:00+00:00,transient,0.2,-0.18152222637055182
2024-08-05 04:10:00+00:00,transient,0.25,-0.2269161502134894
2024-08-05 04:10:00+00:00,transient,0.3,-0.27231542095654687
2024-08-05 04:10:00+00:00,transient,0.35,-0.3177200385997241
2024-08-05 04:10:00+00:00,transient,0.4,-0.36313000314302113
2024-08-05 04:10:00+00:00,transient,0.45,-0.4085864558716244
2024-08-05 04:10:00+00:00,transient,0.5,-0.4540573980081665
2024-08-05 04:10:00+00:00,transient,0.55,-0.49954282955264784
2024-08-05 04:10:00+00:00,transient,0.6,-0.545042750505068
2024-08-05 04:10:00+00:00,transient,0.65,-0.5907954150320647
2024-08-05 04:10:00+00:00,transient,0.7,-0.6365992234541752
2024-08-05 04:10:00+00:00,transient,0.75,-0.6824541757713999
2024-08-05 04:10:00+00:00,transient,0.8,-0.7283602719837385
2024-08-05 04:10:00+00:00,transient,0.85,-0.7992775858522523
2024-08-05 04:10:00+00:00,transient,0.9,-0.873182522881887
2024-08-05 04:10:00+00:00,transient,0.95,-0.9500750830726431
2024-08-05 04:10:00+00:00,transient,1.0,-1.0299552664245204
2024-08-05 04:11:00+00:00,transient,0.0,-0.0
2024-08-05 04:11:00+00:00,transient,0.05,-0.04537831778232457
2024-08-05 04:11:00+00:00,transient,0.1,-0.09075812810485807
2024-08-05 04:11:00+00:00,transient,0.15,-0.1361394309676005
2024-08-05 04:11:00+00:00,transient,0.2,-0.18152222637055182
2024-08-05 04:11:00+00:00,transient,0.25,-0.2269161502134894
